Year,Exporter,Exporter_Region,Exporter_Alliance,UNSC_Permanent_Member,Importer,Importer_Region,Weapon_Category,Weapon_Subtype,Weapon_Class,Deal_Value_USD_M,Quantity,Deal_Framework,Technology_Transfer,Delivery_Timeline_Months,Importer_GDP_Per_Capita,Importer_Political_Stability,Importer_Democracy_Index,Importer_Conflict_Proximity,Active_Territorial_Dispute,Natural_Resource_Dependence,Importer_Military_Spend_Pct_GDP,Arms_Import_Trend,UN_Embargo,Escalation_Risk
2015,Turkey,Europe & Central Asia,NATO,No,Pakistan,South Asia,Artillery & Ammunition,MLRS,Offensive,7.5,1,Multilateral Programme,No,27,1520,2.6,4.1,Yes,Yes,Low,2.0,Accelerating,No,High
2018,Russia,Europe & Central Asia,Non-Aligned,Yes,Ukraine,Europe & Central Asia,Missiles & Air Defence,SAM System,Defensive,119.1,167,Multilateral Programme,No,13,4028,2.6,5.2,Yes,Yes,Low,5.1,Accelerating,No,High
2009,France,Europe & Central Asia,NATO,Yes,Indonesia,East Asia & Pacific,Armoured Vehicles,MRAP,Defensive,28.8,162,Offset Agreement,No,13,4106,5.0,6.6,No,Yes,Medium,2.1,Stable,No,Medium
2024,Israel,Middle East & North Africa,Non-NATO Ally,No,Vietnam,East Asia & Pacific,Armoured Vehicles,Main Battle Tank,Offensive,82.5,85,Bilateral Defence Pact,Yes,16,3717,6.4,2.4,No,Yes,Low,1.2,Stable,No,Medium
2022,China,East Asia & Pacific,Non-Aligned,Yes,Ukraine,Europe & Central Asia,Armoured Vehicles,MRAP,Defensive,74.2,33,Foreign Military Sales (FMS),No,10,3904,2.6,5.9,Yes,Yes,Low,4.5,Stable,No,High
2017,China,East Asia & Pacific,Non-Aligned,Yes,Algeria,Middle East & North Africa,Missiles & Air Defence,SAM System,Defensive,160.8,15,Government-to-Government,Yes,43,4030,3.9,3.1,Yes,Yes,High,4.7,Stable,No,High
2023,China,East Asia & Pacific,Non-Aligned,Yes,UAE,Middle East & North Africa,Armoured Vehicles,IFV,Offensive,137.1,4,Foreign Military Sales (FMS),No,14,45069,6.4,2.4,No,No,High,1.5,Accelerating,No,Medium
2018,France,Europe & Central Asia,NATO,Yes,Romania,Europe & Central Asia,Missiles & Air Defence,SAM System,Defensive,97.9,5,Government-to-Government,No,28,14879,5.9,6.7,Yes,No,Low,3.2,Declining,No,Medium
2016,United States,North America,NATO,Yes,Peru,Latin America & Caribbean,Small Arms & Light Weapons,Grenade Launcher Batch,Offensive,8.8,5,Offset Agreement,No,27,6987,4.4,6.6,No,No,Medium,2.0,Accelerating,No,Medium
2022,Russia,Europe & Central Asia,Non-Aligned,Yes,UAE,Middle East & North Africa,Artillery & Ammunition,Mortar System,Offensive,27.9,60,Foreign Military Sales (FMS),No,6,40641,7.3,2.7,No,No,High,2.3,Stable,No,Low
2011,China,East Asia & Pacific,Non-Aligned,Yes,Japan,East Asia & Pacific,Armoured Vehicles,MRAP,Defensive,158.0,3,Foreign Military Sales (FMS),No,21,42727,8.4,8.7,No,Yes,Low,2.8,Declining,No,Medium
2022,China,East Asia & Pacific,Non-Aligned,Yes,Singapore,East Asia & Pacific,Small Arms & Light Weapons,Sniper System,Offensive,8.9,50,Bilateral Defence Pact,No,6,66842,8.8,6.7,No,No,Low,1.9,Accelerating,No,Low
2015,United Kingdom,Europe & Central Asia,NATO,Yes,Egypt,Middle East & North Africa,Armoured Vehicles,APC,Defensive,76.7,143,Foreign Military Sales (FMS),No,6,3457,4.1,3.3,Yes,No,Medium,4.6,Accelerating,No,High
2011,Germany,Europe & Central Asia,NATO,No,Colombia,Latin America & Caribbean,Sensors & Electronics,Targeting Pod,Offensive,8.2,178,Multilateral Programme,No,26,5920,4.6,6.7,Yes,No,Medium,2.9,Accelerating,No,High
2017,Russia,Europe & Central Asia,Non-Aligned,Yes,Ethiopia,Sub-Saharan Africa,Armoured Vehicles,MRAP,Defensive,77.9,7,Offset Agreement,No,12,957,2.0,3.6,Yes,Yes,Low,4.3,Stable,No,High
2020,Germany,Europe & Central Asia,NATO,No,Morocco,Middle East & North Africa,Armoured Vehicles,APC,Defensive,55.8,1,Bilateral Defence Pact,No,27,3830,5.5,3.8,No,Yes,Medium,2.0,Accelerating,No,Medium
2022,Russia,Europe & Central Asia,Non-Aligned,Yes,Qatar,Middle East & North Africa,Artillery & Ammunition,Guided Munitions,Offensive,118.9,8,Government-to-Government,Yes,28,58876,7.0,1.9,No,No,High,1.4,Accelerating,No,Medium
2008,France,Europe & Central Asia,NATO,Yes,Poland,Europe & Central Asia,Missiles & Air Defence,MANPADS,Defensive,87.0,26,Government-to-Government,No,40,16596,6.5,7.4,Yes,No,Low,3.9,Accelerating,No,Medium
2015,United Kingdom,Europe & Central Asia,NATO,Yes,Chile,Latin America & Caribbean,Missiles & Air Defence,SAM System,Defensive,139.0,168,Offset Agreement,Yes,30,14985,6.9,8.7,No,No,Medium,1.9,Declining,No,Low
2020,United States,North America,NATO,Yes,Mexico,Latin America & Caribbean,Naval Vessels,Frigate,Offensive,350.6,13,Multilateral Programme,No,67,10303,3.6,6.4,Yes,No,Medium,3.2,Accelerating,No,High
2015,United States,North America,NATO,Yes,Philippines,East Asia & Pacific,Combat Aircraft,Fighter Jet,Offensive,296.5,15,Multilateral Programme,No,60,3396,4.4,5.8,Yes,Yes,Low,5.4,Stable,No,High
2024,France,Europe & Central Asia,NATO,Yes,Vietnam,East Asia & Pacific,Armoured Vehicles,IFV,Offensive,87.0,141,Direct Commercial Sale,No,27,3733,5.7,1.4,No,Yes,Low,1.5,Accelerating,No,High
2007,Turkey,Europe & Central Asia,NATO,No,Colombia,Latin America & Caribbean,Missiles & Air Defence,Cruise Missile,Offensive,131.7,166,Government-to-Government,Yes,25,7121,3.9,6.3,Yes,No,Medium,4.5,Accelerating,No,High
